source_line,latitude,longitude,district,event_date,event_year,date_precision,source_row,event_datetime,grid_lat_idx,grid_lon_idx,grid_distance_km
628,25.57822,91.86545,East Khasi Hills,2014-09-23,2014,day,East Khasi Hills     Barapathar                       Barapathar                     25.57822     91.86545    Debris          Slide        23 September 2014,2014-09-23,0,0,0.0
850,25.95847,91.85406,Ri-Bhoi,2014-09-23,2014,day,Ri-Bhoi    Shangbangla                  GS road                           25.95847    91.85406    Debris            Slide      23 September 2014 at 09.00hrs and,2014-09-23,0,0,0.0
938,25.97255556,91.86241667,Ri-Bhoi,2014-10-05,2014,day,"Ri-Bhoi            Umling Slide (adjacent to Kargil Petrol Guwahati-Shillong road (NH-40) 25.97255556   91.86241667   Debris with            Slide   2012, 05 October 2014 at 5.30pm",2014-10-05,0,0,0.0
858,25.97256,91.86242,Ri-Bhoi,2014-10-05,2014,day,"Ri-Bhoi    Umling                       Guwahati-Shillong road (NH-40) 25.97256       91.86242    Debris            Slide      2012, 05 October 2014 at 5:30 pm",2014-10-05,0,0,0.0
867,26.00294,91.86692,Ri-Bhoi,2014-09-23,2014,day,Ri-Bhoi    19 Mile                      GS Road                           26.00294    91.86692    Debris            Slide      23 September 2014,2014-09-23,0,0,0.0
870,26.01061,91.86886,Ri-Bhoi,2014-08-23,2014,day,"Ri-Bhoi    17 Mile C                    GS Road                           26.01061    91.86886    Debris            Slide      20-23 August, 2014",2014-08-23,0,0,0.0
874,26.02547,91.87158,Ri-Bhoi,2014-09-20,2014,day,Ri-Bhoi    17 Mile B                    GS road                           26.02547    91.87158    Earth             Slide      20 September 2014,2014-09-20,0,0,0.0
748,25.663444,91.915944,Ri-Bhoi,2017-06-17,2017,day,Ri-Bhoi            Tharia slide                        Tharia village               25.663444      91.915944     Debris          Slide        17 June 2017,2017-06-17,0,0,0.0
950,25.64911111,91.899,East Khasi Hills,2019-07-11,2019,day,"East Khasi Hills     Guwahati-Shillong Road, Near Umiam Umiam Landslide-II            25.64911111   91.899        Debris               Slide       2018,11 July 2019",2019-07-11,0,0,0.0
955,25.18688889,91.39855556,East Khasi Hills,2019-06-27,2019,day,East Khasi Hills     Balat-Shella road                  Balat 4 km Slide              25.18688889   91.39855556   Debris               Slide       27 June 2019,2019-06-27,0,0,0.0
952,25.22194444,91.38422222,East Khasi Hills,2019-06-27,2019,day,East Khasi Hills     Balat road                         Balat road slide - II         25.22194444   91.38422222   Debris               Slide       27 June 2019,2019-06-27,0,0,0.0
951,25.23211111,91.37252778,East Khasi Hills,2019-06-27,2019,day,East Khasi Hills     Balat road slide - I               Pomblang Landslide            25.23211111   91.37252778   Debris               Slide       27 June 2019,2019-06-27,0,0,0.0
945,25.281,91.57330556,East Khasi Hills,2019-07-07,2019,day,"East Khasi Hills     Mawsynram, East Khasi Hills District, Mawsynram - Lawbah         25.281        91.57330556   Debris               Slide       7 July 2019",2019-07-07,0,0,0.0
942,25.563,91.885,East Khasi Hills,2019-07-09,2019,day,"East Khasi Hills   Malki, East Khasi Hills district,    Malki Slide                     25.563          91.885        Debris                 Slide   9 July 2019 at 2.00 pm",2019-07-09,0,0,0.0
