source_line,latitude,longitude,event_date,event_year,date_precision,source_row,event_datetime,grid_lat_idx,grid_lon_idx,grid_distance_km
691,25.6251,91.9118,2024-05-27,2024,day,East Khasi Hills   NA                              NA                             25.6251       91.9118       Slope cut debris   Slide     27 May 2024,2024-05-27,5,6,16.972204902428025
1011,25.34508889,91.60050278,2024-05-28,2024,day,"East Khasi Hills          Mawlynnu(Sixteen)                    Weiloi-Mawsynram Road    25.34508889   91.60050278   Debris          Slide         28 May 2024, morning",2024-05-28,3,4,15.357645588704143
998,25.39295833,91.55163333,2024-05-28,2024,day,South West Khasi Hills    Wamney                            Village Road                25.39295833   91.55163333   Debris          Slide         28 May 2024,2024-05-28,4,4,13.191694996544989
1000,25.40288611,91.43424167,2024-05-28,2024,day,South West Khasi Hills    Mawkyllung                        Mawkyllung-Nongstoin Road   25.40288611   91.43424167   Debris          Fall          28 May 2024,2024-05-28,4,4,13.018395730655097
1010,25.41384722,91.67856111,2024-05-28,2024,day,"East Khasi Hills          Ummawiong                            Lyngiang-Tynsad Road     25.41384722   91.67856111   Debris          Slide         28 May 2024, morning",2024-05-28,4,5,12.422986161643847
1009,25.44693056,91.74096667,2024-05-28,2024,day,"East Khasi Hills          Mawphlang                            Mawphlang-Weiloi Road    25.44693056   91.74096667   Debris          Topple/Fall   28 May 2024, morning",2024-05-28,4,5,5.975436837942507
1003,25.62790278,91.88801944,2024-05-28,2024,day,East Khasi Hills          Mowing Rim                           Shillong-Umiam Road      25.62790278   91.88801944   Debris          Fall          28 May 2024 at 4.00 hrs,2024-05-28,5,6,18.38964739728737
1004,25.630403,91.8899195,2024-05-28,2024,day,East Khasi Hills          Mowing Rim                           Shillong-Umiam Road      25.630403     91.8899195    Debris          Subsidence    28 May 2024 at 4.00 hrs,2024-05-28,5,6,18.042591240573863
1005,25.630858,91.887601,2024-05-28,2024,day,East Khasi Hills          Mowing Rim                           Shillong-Umiam Road      25.630858     91.887601     Debris          Slide         28 May 2024 at 4.00 hrs,2024-05-28,5,6,18.18109229854343
1048,25.68798889,91.65838889,2024-05-28,2024,day,Eastern-West Khasi Hill                                    Mairang-Guwahati Road           25.68798889   91.65838889   Debris          Slide         28 May 2024,2024-05-28,5,5,12.27941644688588
