State,District,Date,Daily Actual,Daily Normal,Daily Departure Per,Daily Category
Meghalaya,East Khasi Hills,2014-01-01,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-01,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-01,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-01,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-01,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-01,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-01,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-01,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-02,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-02,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-02,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-02,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-02,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-02,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-02,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-02,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-03,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-03,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-03,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-03,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-03,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-03,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-03,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-03,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-04,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-04,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-04,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-04,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-04,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-04,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-04,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-04,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-05,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-05,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-05,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-05,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-05,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-05,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-05,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-05,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-06,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-06,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-06,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-06,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-06,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-06,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-06,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-06,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-07,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-07,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-07,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-07,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-07,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-07,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-07,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-07,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-08,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-08,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-08,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-08,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-08,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-08,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-08,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-08,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-09,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-09,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-09,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-09,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-09,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-09,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-09,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-09,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-10,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-10,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-10,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-10,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-10,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-10,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-10,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-10,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-11,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-11,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-11,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-11,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-11,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-11,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-11,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-11,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-12,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-12,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-12,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-12,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-12,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-12,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-12,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-12,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-13,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-13,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-13,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-13,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-13,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-13,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-13,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-13,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-14,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-14,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-14,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-01-14,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-01-14,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-01-14,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-01-14,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-01-14,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-01-15,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-01-15,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-01-15,0.0,30.0,-100.0,deficit
