state,district,date,daily_rainfall,daily_normal,daily_departure,rainfall_category,rainfall_anomaly,rain_3d,rain_7d,rain_15d,rain_30d,max_rain_7d,rain_days_7d,lag_1d,lag_3d,lag_7d
TELANGANA,ADILABAD,2026-08-26,2.2,6.5,-66.0,LD,-4.3,12.600000000000001,25.0,30.6,30.6,11.9,3.0,2.7,11.9,5.6
TELANGANA,ADILABAD,2026-08-27,2.5,6.8,-63.0,LD,-4.3,7.4,27.200000000000003,33.1,33.1,11.9,3.0,2.2,7.7,0.3
TELANGANA,ADILABAD,2026-08-28,0.0,6.0,-100.0,NR,-6.0,4.7,27.1,33.1,33.1,11.9,3.0,2.5,2.7,0.1
TELANGANA,ADILABAD,2026-08-29,0.0,9.0,-100.0,LD,-9.0,2.5,27.0,33.1,33.1,11.9,3.0,0.0,2.2,0.1
TELANGANA,ADILABAD,2026-08-30,1.7,7.1,-76.0,LD,-5.3999999999999995,1.7,16.8,34.8,34.8,7.7,2.0,0.0,2.5,11.9
TELANGANA,ADILABAD,2026-08-31,0.4,12.3,-97.0,LD,-11.9,2.1,9.500000000000002,35.2,35.2,2.7,1.0,1.7,0.0,7.7
TELANGANA,ADILABAD,2026-09-01,0.0,7.4,-100.0,NR,-7.4,2.1,6.8,35.2,35.2,2.5,0.0,0.4,0.0,2.7
TELANGANA,ADILABAD,2026-09-02,0.1,7.3,-99.0,LD,-7.2,0.5,4.7,35.3,35.3,2.5,0.0,0.0,1.7,2.2
TELANGANA,ADILABAD,2026-09-03,5.3,8.8,-40.0,D,-3.500000000000001,5.3999999999999995,7.5,35.0,40.6,5.3,1.0,0.1,0.4,2.5
TELANGANA,ADILABAD,2026-09-04,0.9,6.1,-85.0,LD,-5.199999999999999,6.3,8.4,35.6,41.5,5.3,1.0,5.3,0.0,0.0
TELANGANA,ADILABAD,2026-09-05,0.0,6.9,-100.0,NR,-6.9,6.2,8.4,35.5,41.5,5.3,1.0,0.9,0.1,0.0
TELANGANA,ADILABAD,2026-09-06,0.0,7.2,-100.0,LD,-7.2,0.9,6.7,35.4,41.5,5.3,1.0,0.0,5.3,1.7
TELANGANA,ADILABAD,2026-09-07,0.0,6.9,-100.0,NR,-6.9,0.0,6.300000000000001,23.5,41.5,5.3,1.0,0.0,0.9,0.4
TELANGANA,ADILABAD,2026-09-08,0.0,8.6,-100.0,NR,-8.6,0.0,6.300000000000001,15.8,41.5,5.3,1.0,0.0,0.0,0.0
MADHYA PRADESH,AGAR-MALWA,2026-08-26,42.2,5.6,654.0,LE,36.6,49.0,50.0,50.0,50.0,42.2,2.0,6.8,0.2,0.0
MADHYA PRADESH,AGAR-MALWA,2026-08-27,103.6,6.2,1571.0,LE,97.39999999999999,152.6,153.6,153.6,153.6,103.6,3.0,42.2,0.0,0.0
MADHYA PRADESH,AGAR-MALWA,2026-08-28,5.2,5.5,-5.0,N,-0.2999999999999998,150.99999999999997,157.99999999999997,158.79999999999998,158.79999999999998,103.6,4.0,103.6,6.8,0.8
MADHYA PRADESH,AGAR-MALWA,2026-08-29,0.0,9.6,-100.0,NR,-9.6,108.8,157.99999999999997,158.79999999999998,158.79999999999998,103.6,4.0,5.2,42.2,0.0
MADHYA PRADESH,AGAR-MALWA,2026-08-30,0.0,11.9,-100.0,NR,-11.9,5.2,157.79999999999998,158.79999999999998,158.79999999999998,103.6,4.0,0.0,103.6,0.2
MADHYA PRADESH,AGAR-MALWA,2026-08-31,0.0,10.3,-100.0,NR,-10.3,0.0,157.79999999999998,158.79999999999998,158.79999999999998,103.6,4.0,0.0,5.2,0.0
MADHYA PRADESH,AGAR-MALWA,2026-09-01,0.0,10.6,-100.0,NR,-10.6,0.0,150.99999999999997,158.79999999999998,158.79999999999998,103.6,3.0,0.0,0.0,6.8
MADHYA PRADESH,AGAR-MALWA,2026-09-02,0.0,4.7,-100.0,NR,-4.7,0.0,108.8,158.79999999999998,158.79999999999998,103.6,2.0,0.0,0.0,42.2
MADHYA PRADESH,AGAR-MALWA,2026-09-03,0.0,11.0,-100.0,NR,-11.0,0.0,5.2,158.79999999999998,158.79999999999998,5.2,1.0,0.0,0.0,103.6
MADHYA PRADESH,AGAR-MALWA,2026-09-04,21.6,8.7,148.0,LE,12.900000000000002,21.6,21.6,180.4,180.4,21.6,1.0,0.0,0.0,5.2
MADHYA PRADESH,AGAR-MALWA,2026-09-05,33.3,5.9,465.0,LE,27.4,54.9,54.9,212.89999999999998,213.7,33.3,2.0,21.6,0.0,0.0
MADHYA PRADESH,AGAR-MALWA,2026-09-06,13.7,7.9,73.0,LE,5.799999999999999,68.6,68.6,226.59999999999997,227.39999999999998,33.3,3.0,33.3,0.0,0.0
MADHYA PRADESH,AGAR-MALWA,2026-09-07,22.2,4.7,372.0,LE,17.5,69.19999999999999,90.8,248.6,249.6,33.3,4.0,13.7,21.6,0.0
