source_line,latitude,longitude,event_date,event_year,date_precision,source_row
947,25.27728056,91.57445,,2014,year,"East Khasi Hills     Mawsynram, East Khasi Hills District, Mawsynram - Lawbah         25.27728056   91.57445      Rock                 Slide       2014"
628,25.57822,91.86545,,2014,year,East Khasi Hills     Barapathar                       Barapathar                     25.57822     91.86545    Debris          Slide        23 September 2014
832,25.92792,91.87717,,2014,year,Ri-Bhoi            Pamdingoh B                    GS road                           25.92792    91.87717    Debris          Slide        August-September 2014
840,25.937,91.87553,,2014,year,Ri-Bhoi    Pamdingoh A                  GS road                     25.937            91.87553    Debris            Slide      2014
911,25.95608333,91.86413889,,2014,year,"Ri-Bhoi                  Pemangla slide ( around 22mile from GS road NH-40                  25.95608333   91.86413889   Variably thick in-situ Slide   25-26, August, 2014, 23 September"
850,25.95847,91.85406,,2014,year,Ri-Bhoi    Shangbangla                  GS road                           25.95847    91.85406    Debris            Slide      23 September 2014 at 09.00hrs and
938,25.97255556,91.86241667,,2014,year,"Ri-Bhoi            Umling Slide (adjacent to Kargil Petrol Guwahati-Shillong road (NH-40) 25.97255556   91.86241667   Debris with            Slide   2012, 05 October 2014 at 5.30pm"
858,25.97256,91.86242,,2014,year,"Ri-Bhoi    Umling                       Guwahati-Shillong road (NH-40) 25.97256       91.86242    Debris            Slide      2012, 05 October 2014 at 5:30 pm"
867,26.00294,91.86692,,2014,year,Ri-Bhoi    19 Mile                      GS Road                           26.00294    91.86692    Debris            Slide      23 September 2014
870,26.01061,91.86886,,2014,year,"Ri-Bhoi    17 Mile C                    GS Road                           26.01061    91.86886    Debris            Slide      20-23 August, 2014"
874,26.02547,91.87158,,2014,year,Ri-Bhoi    17 Mile B                    GS road                           26.02547    91.87158    Earth             Slide      20 September 2014
878,26.02897,91.87197,,2014,year,Ri-Bhoi                  17 mile A                          GS road                         26.02897      91.87197      Earth                  Slide   2014
399,25.382563,91.757675,,2015,year,East Khasi Hills                                       Shillong-Sohra road              25.382563     91.757675   Debris          Slide        2015
464,25.450628,91.817767,,2015,year,East Khasi Hills                                           Shillong-Sohra road              25.450628   91.817767   Debris            Slide      2015
682,25.616596,91.876562,,2015,year,East Khasi Hills                                        NH-40                         25.616596   91.876562     Earth           Slide        2015
706,25.633896,91.891833,,2015,year,East Khasi Hills                                   NH-40                          25.633896     91.891833     Debris             Slide     2015
710,25.637026,91.844464,,2015,year,East Khasi Hills                                   Lum- Diengei Rd                25.637026     91.844464     Debris             Slide     2015
807,25.759278,91.882861,,2015,year,Ri-Bhoi            47.020 chainage slide          NH6                        25.759278          91.882861   Earth           Slide        2015
808,25.760611,91.88225,,2015,year,Ri-Bhoi            46.720 chainage slide          NH6                        25.760611          91.88225    Earth           Slide        2015
811,25.787,91.876583,,2015,year,Ri-Bhoi            43.030 chainage slide          NH6                               25.787      91.876583   Earth           Slide        2015
824,25.852222,91.881361,,2015,year,Ri-Bhoi            34.300 chainage slide          NH6                               25.852222   91.881361   Earth           Slide        2015
825,25.853111,91.881583,,2015,year,Ri-Bhoi            34.190 chainage slide          NH6                               25.853111   91.881583   Debris          Slide        2015
827,25.865894,91.880278,,2015,year,Ri-Bhoi            Umdihar                        NH6                               25.865894   91.880278   Earth           Slide        2015
833,25.927972,91.877194,,2015,year,Ri-Bhoi            Krosia slide                   NH6                               25.927972   91.877194   Earth           Slide        2015
845,25.951106,91.968889,,2015,year,Ri-Bhoi    yrn                          SH                         25.951106          91.968889   Earth             Slide      2015
848,25.956333,91.85725,,2015,year,Ri-Bhoi    Lumjana Slide II             NH6                               25.956333   91.85725    Earth             Slide      2015
849,25.956781,91.852883,,2015,year,Ri-Bhoi    Lumjana Slide I              NH6                               25.956781   91.852883   Earth             Slide      2015
852,25.96,91.857,,2015,year,Ri-Bhoi    Umdaprhong                   NH6                              25.96        91.857      Earth             Slide      2015
861,25.978803,91.860278,,2015,year,Ri-Bhoi    Old weight bridge 2          NH6                               25.978803   91.860278   Earth             Slide      2015
865,25.997033,91.86235,,2015,year,Ri-Bhoi    13 km stone slide            NH6                               25.997033   91.86235    Earth             Slide      2015
866,25.998847,91.863883,,2015,year,Ri-Bhoi    Hynniangban Them slide       NH6                               25.998847   91.863883   Earth             Slide      2015
493,25.504083,91.723028,,2016,year,East Khasi Hills     ShillongMairang bypass R.S4       New Shillong mairang bypass      25.504083     91.723028     Debris          Slide        2016
497,25.507586,91.708236,,2016,year,East Khasi Hills     ShillongMairang bypass R.S1       New Shillong mairang bypass     25.507586      91.708236     Debris          Slide        2016
500,25.509233,91.703961,,2016,year,East Khasi Hills     ShillongMairang bypass R.S2       New Shillong mairang bypass     25.509233      91.703961     Debris          Slide        2016
501,25.509358,91.719631,,2016,year,East Khasi Hills     ShillongMairang bypass R.S3       New Shillong mairang bypass     25.509358      91.719631     Debris          Slide        2016
508,25.520356,91.537764,,2016,year,West Khasi Hills         NH44E slide3                  Along NH44E near Kynshi village 25.520356     91.537764     Debris            Slide      2016
512,25.523,91.521389,,2016,year,West Khasi Hills         NH44E slide2                  NH44E                           25.523        91.521389     Debris            Slide      2016
514,25.524931,91.514383,,2016,year,West Khasi Hills         NH44E slide1                  NH44E                           25.524931     91.514383     Debris            Slide      2016
527,25.535628,91.679575,,2016,year,West Khasi Hills         NH44E slide7                  100 m SW of NH44E between 25.535628           91.679575     Earth             Slide      2016
533,25.537972,91.602361,,2016,year,West Khasi Hills         NH44E slide4                  Along NH44E 2 km West of        25.537972     91.602361     Debris            Slide      2016
541,25.542744,91.662067,,2016,year,East Khasi Hills         Nongbri village Slide     1 km W of Nongbri village       25.542744   91.662067   Rock              Slide      2016
560,25.548089,91.647706,,2016,year,West Khasi Hills                                   Along NH44E near 40km mile     25.548089    91.647706   Debris            Slide      2016
561,25.548306,91.61775,,2016,year,West Khasi Hills         47 mile stone slide       Along NH44E near 47 mile stone 25.548306    91.61775    Rock              Slide      2016
566,25.549789,91.645033,,2016,year,West Khasi Hills         NH44E slide6              Along NH44E near 0.5 km NE of 25.549789     91.645033   Debris            Slide      2016
572,25.5502,91.618106,,2016,year,West Khasi Hills         NH44E slide5                        Along NH44E SW of Mawsawa        25.5502     91.618106   Earth           Slide        2016
602,25.568056,91.737944,,2016,year,West Khasi Hills         Pyrda village slide1                2 km SE of Pyrda village         25.568056   91.737944   Rock            Slide        2016
603,25.568106,91.737919,,2016,year,West Khasi Hills         Pyrda village slide2                About 2 km SE of Pyrda village   25.568106   91.737919   Debris          Slide        2016
685,25.619625,91.616567,,2016,year,"West Khasi Hills         MairangNongkhlaw R.S4          MairangNongkhlaw road, about 25.619625    91.616567     Earth           Slide        2016"
689,25.620361,91.617083,,2016,year,"West Khasi Hills         MairangNongkhlaw R.S3          MairangNongkhlaw road, about 25.620361    91.617083     Earth           Slide        2016"
744,25.660333,91.635083,,2016,year,"West Khasi Hills   MairangNongkhlaw R.S2               MairangNongkhlaw road, about 25.660333      91.635083     Earth           Slide        2016"
745,25.660539,91.635431,,2016,year,"West Khasi Hills   MairangNongkhlaw R.S1               MairangNongkhlaw road, about 25.660539      91.635431     Earth           Slide        2016"
776,25.687083,91.650858,,2016,year,West Khasi Hills   NongkhlawPatharkhamma R.S4    NongkhlawPatharkhammah     25.687083   91.650858   Debris          Slide        2016
777,25.687314,91.655378,,2016,year,West Khasi Hills   NongkhlawPatharkhamma R.S3    NongkhlawPatharkhammah     25.687314   91.655378   Debris          Slide        2016
778,25.687431,91.648322,,2016,year,West Khasi Hills   NongkhlawPatharkhamma R.S5    NongkhlawPatharkhammah     25.687431   91.648322   Debris          Slide        2016
779,25.687442,91.656183,,2016,year,West Khasi Hills   NongkhlawPatharkhamma R.S2    NongkhlawPatharkhammah     25.687442   91.656183   Debris          Slide        2016
780,25.687856,91.647944,,2016,year,West Khasi Hills   NongkhlawPatharkhamma R.S6    NongkhlawPatharkhammah     25.687856   91.647944   Debris          Slide        2016
781,25.688011,91.658069,,2016,year,West Khasi Hills   NongkhlawPatharkhamma R.S1    NongkhlawPatharkhammah     25.688011   91.658069   Debris          Slide        2016
784,25.691453,91.645731,,2016,year,West Khasi Hills                                 NongkhlawPatharkhammah     25.691453   91.645731   Debris          Slide        2016
785,25.692933,91.647703,,2016,year,West Khasi Hills   NongkhlawPatharkhamma R.S8    NongkhlawPatharkhammah     25.692933   91.647703   Debris          Slide        2016
786,25.692947,91.648044,,2016,year,West Khasi Hills   NongkhlawPatharkhamma R.S7    NongkhlawPatharkhammah     25.692947   91.648044   Debris          Slide        2016
790,25.696489,91.644528,,2016,year,West Khasi Hills   NongkhlawPatharkhamma R.S9    NongkhlawPatharkhammah     25.696489   91.644528   Debris          Slide        2016
796,25.6999,91.642192,,2016,year,West Khasi Hills   NongkhlawPatharkhamma R.S11   NongkhlawPatharkhammah     25.6999     91.642192   Debris          Slide        2016
797,25.700053,91.644486,,2016,year,West Khasi Hills   NongkhlawPatharkhamma R.S10   NongkhlawPatharkhammah     25.700053   91.644486   Debris          Slide        2016
809,25.763347,91.657153,,2016,year,West Khasi Hills   Ladpanai village slide1        MairangPatharkhamma road 2 25.763347          91.657153   Rock            Slide        2016
814,25.795444,91.662111,,2016,year,West Khasi Hills                                  NongkhlawPatharkhammah            25.795444   91.662111   Earth           Slide        2016
829,25.895583,91.599333,,2016,year,Ri-Bhoi            Patharkhamma village Slide1    Patharkhamma Guwahati road        25.895583   91.599333   Debris          Slide        2016
830,25.913997,91.578903,,2016,year,Ri-Bhoi            Jirang village slide8          Patharkhamma Guwahati road        25.913997   91.578903   Debris          Slide        2016
831,25.9235,91.574222,,2016,year,Ri-Bhoi            Jirang village slide7          Patharkhamma Guwahati road        25.9235     91.574222   Debris          Slide        2016
834,25.930386,91.571822,,2016,year,Ri-Bhoi            Jirang village slide6          Patharkhamma Guwahati road        25.930386   91.571822   Earth           Slide        2016
835,25.934889,91.714389,,2016,year,Ri-Bhoi            UmlingPatharkhamma R.S3        UmlingPatharkhamma road         25.934889     91.714389   Earth           Slide        2016
836,25.935708,91.714556,,2016,year,Ri-Bhoi            UmlingPatharkhamma R.S2        UmlingPatharkhamma road         25.935708     91.714556   Earth           Slide        2016
837,25.935833,91.56525,,2016,year,Ri-Bhoi            Jirang village slide5          Patharkhamma Guwahati road 25.935833          91.56525    Earth           Slide        2016
838,25.935908,91.564903,,2016,year,Ri-Bhoi            Jirang village slide4          Patharkhamma Guwahati road 25.935908          91.564903   Earth           Slide        2016
839,25.936583,91.563917,,2016,year,Ri-Bhoi    Jirang village slide3        Patharkhamma Guwahati road 25.936583          91.563917   Debris            Slide      2016
841,25.940439,91.563069,,2016,year,Ri-Bhoi    Jirang village slide2        Patharkhamma Guwahati road 25.940439          91.563069   Earth             Slide      2016
842,25.940978,91.724644,,2016,year,Ri-Bhoi    UmlingPatharkhamma R.S1      UmlingPatharkhamma road    25.940978          91.724644   Earth             Slide      2016
843,25.945225,91.560703,,2016,year,Ri-Bhoi    Jirang village slide1        Patharkhamma Guwahati road 25.945225          91.560703   Earth             Slide      2016
844,25.945619,91.548883,,2016,year,Ri-Bhoi    Paham slide2                 Patharkhamma Guwahati road 25.945619          91.548883   Earth             Slide      2016
846,25.9545,91.546622,,2016,year,Ri-Bhoi    Paham slide                  Patharkhamma Guwahati road 25.9545            91.546622   Debris            Slide      2016
847,25.954889,91.858667,,2016,year,Ri-Bhoi    19.720 km slide              NH6                               25.954889   91.858667   Debris            Slide      2016
855,25.971897,91.562372,,2016,year,Ri-Bhoi    Huro Jirang village slide3   0.5 km SW of Huro Jirang vilalge 25.971897    91.562372   Earth             Slide      2016
856,25.972322,91.561125,,2016,year,Ri-Bhoi    Huro Jirang village slide4   4.5 km SW of Huro Jirang vilalge 25.972322    91.561125   Earth             Slide      2016
857,25.972469,91.560822,,2016,year,Ri-Bhoi    Huro Jirang village slide5   5 km SW of Huro Jirang vilalge    25.972469   91.560822   Earth             Slide      2016
859,25.972964,91.858336,,2016,year,Ri-Bhoi    Umling slide                 NH6                             25.972964     91.858336   Debris            Slide      2016
860,25.978481,91.569575,,2016,year,Ri-Bhoi    Huro Jirang village slide2   2.5km SW of Huro Jirang vilalge 25.978481     91.569575   Earth             Slide      2016
864,25.994619,91.577214,,2016,year,Ri-Bhoi    Huro Jirang village slide1   0.5km NE of Huro Jirang vilalge   25.994619   91.577214   Earth             Slide      2016
113,25.181969,91.637545,,2017,year,East Khasi Hills         Shella slide                 250 m N of Shella village(Along 25.181969    91.637545   Debris          Slide        2017
156,25.208593,91.742294,,2017,year,East Khasi Hills                                       Along Sohra Mawlong road        25.208593   91.742294   Debris          Slide        2017
178,25.218732,91.740262,,2017,year,East Khasi Hills                                       Along Sohra Mawlong road     25.218732      91.740262   Debris          Slide        2017
189,25.222221,91.742134,,2017,year,East Khasi Hills                                       Along Sohra Mawlong road       25.222221   91.742134   Debris          Slide        2017
197,25.223769,91.740164,,2017,year,East Khasi Hills                                       Along Sohra Mawlong road       25.223769   91.740164   Debris          Slide        2017
204,25.226751,91.754441,,2017,year,East Khasi Hills                                       Along the approach road to     25.226751   91.754441   Debris          Slide        2017
208,25.227249,91.748917,,2017,year,East Khasi Hills                                       Along approach road to Laitiam 25.227249   91.748917   Debris          Slide        2017
241,25.243358,91.747094,,2017,year,East Khasi Hills                                    <Null>                          25.243358   91.747094   Rock            Slide        2017
372,25.359281,91.035939,,2017,year,West Khasi Hills         1.7 km W of Porkhadoh      Maweit Shallang B road           25.359281   91.035939   Debris          Slide        2017
382,25.361056,91.034889,,2017,year,West Khasi Hills         1.8 km W of Porkhadoh      Maweit Shallang B road           25.361056   91.034889   Debris          Slide        2017
693,25.625331,91.182614,,2017,year,West Khasi Hills   1.2 km NE of Mawruksoin         Riwang Langpih road            25.625331     91.182614     Debris             Slide     2017
708,25.636747,91.162711,,2017,year,West Khasi Hills   3 km SE of Seinduli             NH44E                          25.636747     91.162711     Rock               Slide     2017
748,25.663444,91.915944,,2017,year,Ri-Bhoi            Tharia slide                        Tharia village               25.663444      91.915944     Debris          Slide        17 June 2017
753,25.667072,91.091972,,2017,year,West Khasi Hills   1.3 km SW of Porla                  NH44E                        25.667072      91.091972     Debris          Slide        2017
757,25.667744,91.597819,,2017,year,West Khasi Hills   0.2 km W of Riando petrolpump slide NH44E                         25.667744     91.597819     Debris          Slide        2017
692,25.625142,90.791675,,2018,year,West Khasi Hills   North of Ginulgithim            NA                             25.625142     90.791675     Soil               Slide     2018
950,25.64911111,91.899,,2018,year,"East Khasi Hills     Guwahati-Shillong Road, Near Umiam Umiam Landslide-II            25.64911111   91.899        Debris               Slide       2018,11 July 2019"
955,25.18688889,91.39855556,,2019,year,East Khasi Hills     Balat-Shella road                  Balat 4 km Slide              25.18688889   91.39855556   Debris               Slide       27 June 2019
